C4d_2015-test
aeg, juhtivus
 1047, 118440
 1048, 118433
 1049, 118448
 1050, 118426
 1051, 118444
 1052, 118424
 1053, 118430
 1054, 118418
 1055, 118417
 1056, 118370
 1057, 118433
 1058, 118451
 1059, 118442
 1060, 118358
 1061, 118406
 1062, 118383
 1063, 118429
 1064, 118393
 1065, 118405
 1066, 118387
 1067, 118422
 1068, 118367
 1069, 118406
 1070, 118381
 1071, 118402
 1072, 118380
 1073, 118419
 1074, 118351
 1075, 118368
 1076, 118370
 1077, 118419
 1078, 118338
 1079, 118382
 1080, 118382
 1081, 118364
 1082, 118343
 1083, 118369
 1084, 118343
 1085, 118387
 1086, 118376
 1087, 118366
 1088, 118334
 1089, 118368
 1090, 118319
 1091, 118356
 1092, 118326
 1093, 118351
 1094, 118320
 1095, 118369
 1096, 118320
 1097, 118359
 1098, 118317
 1099, 118348
 1100, 118319
 1101, 118336
 1102, 118311
 1103, 118329
 1104, 118284
 1105, 118338
 1106, 118294
 1107, 118305
 1108, 118303
 1109, 118290
 1110, 118264
 1111, 118303
 1112, 118300
 1113, 118304
 1114, 118280
 1115, 118310
 1116, 118276
 1117, 118285
 1118, 118259
 1119, 118284
 1120, 118233
 1121, 118292
 1122, 118284
 1123, 118309
 1124, 118274
 1125, 118251
 1126, 118257
 1127, 118278
 1128, 118253
 1129, 118247
 1130, 118294
 1131, 118251
 1132, 118267
 1133, 118249
 1134, 118261
 1135, 118257
 1136, 118257
 1137, 118230
 1138, 118242
 1139, 118250
 1140, 118268
 1141, 118223
 1142, 118242
 1143, 118231
 1144, 118233
 1145, 118206
 1146, 118215
 1147, 118243
 1148, 118215
 1149, 118234
 1150, 118241
 1151, 118187
 1152, 118245
 1153, 118202
 1154, 118217
 1155, 118200
 1156, 118212
 1157, 118204
 1158, 118201
 1159, 118182
 1160, 118197
 1161, 118175
 1162, 118196
 1163, 118157
 1164, 118172
 1165, 118158
 1166, 118189
 1167, 118208
 1168, 118206
 1169, 118162
 1170, 118178
 1171, 118168
 1172, 118165
 1173, 118213
 1174, 118165
 1175, 118163
 1176, 118173
 1177, 118198
 1178, 118163
 1179, 118187
 1180, 118142
 1181, 118152
 1182, 118136
 1183, 118169
 1184, 118145
 1185, 118179
 1186, 118149
 1187, 118180
 1188, 118131
 1189, 118156
 1190, 118136
 1191, 118134
 1192, 118125
 1193, 118109
 1194, 118109
 1195, 118128
 1196, 118074
 1197, 118130
 1198, 118123
 1199, 118147
 1200, 118101
 1201, 118114
 1202, 118094
 1203, 118105
 1204, 118103
 1205, 118135
 1206, 118083
 1207, 118129
 1208, 118092
 1209, 118116
 1210, 118113
 1211, 118115
 1212, 118080
 1213, 118115
 1214, 118091
 1215, 118097
 1216, 118067
 1217, 118070
 1218, 118083
 1219, 118084
 1220, 118118
 1221, 118047
 1222, 118079
 1223, 118066
 1224, 118064
 1225, 118026
 1226, 118063
 1227, 118044
 1228, 118053
 1229, 118057
 1230, 118056
 1231, 118043
 1232, 118064
 1233, 118043
 1234, 118035
 1235, 118040
 1236, 118064
 1237, 118019
 1238, 118037
 1239, 118037
 1240, 118028
 1241, 117985
 1242, 118061
 1243, 118031
 1244, 118028
 1245, 118009
 1246, 118029
 1247, 118026
 1248, 118025
 1249, 118023
 1250, 118027
 1251, 117983
 1252, 118002
 1253, 118007
 1254, 118041
 1255, 117970
 1256, 118020
 1257, 117987
 1258, 118012
 1259, 117962
 1260, 117994
 1261, 117985
 1262, 117995
 1263, 117952
 1264, 117950
 1265, 117978
 1266, 117940
 1267, 117998
 1268, 117941
 1269, 117998
 1270, 117943
 1271, 118010
 1272, 117946
 1273, 117960
 1274, 117927
 1275, 117970
 1276, 117924
 1277, 117983
 1278, 117942
 1279, 117941
 1280, 117923
 1281, 117979
 1282, 117943
 1283, 117926
 1284, 117925
 1285, 117936
 1286, 117932
 1287, 117946
 1288, 117945
 1289, 117944
 1290, 117902
 1291, 117952
 1292, 117929
 1293, 117925
 1294, 117866
 1295, 117931
 1296, 117909
 1297, 117911
 1298, 117889
 1299, 117920
 1300, 117894
 1301, 117945
 1302, 117868
 1303, 117902
 1304, 117870
 1305, 117918
 1306, 117872
 1307, 117925
 1308, 117867
 1309, 117865
 1310, 117875
 1311, 117876
 1312, 117896
 1313, 117847
 1314, 117883
 1315, 117847
 1316, 117869
 1317, 117863
 1318, 117884
 1319, 117856
 1320, 117877
 1321, 117841
 1322, 117871
 1323, 117801
 1324, 117878
 1325, 117834
 1326, 117860
 1327, 117819
 1328, 117867
 1329, 117823
 1330, 117854
 1331, 106770
 1332, 129881
 1333, 129932
 1334, 129922
 1335, 129887
 1336, 129884
 1337, 129931
 1338, 129892
 1339, 129872
 1340, 129893
 1341, 129892
 1342, 129895
 1343, 129894
 1344, 129933
 1345, 129888
 1346, 129889
 1347, 129880
 1348, 129895
 1349, 129910
 1350, 129891
 1351, 129902
 1352, 129876
 1353, 129894
 1354, 129868
 1355, 129881
 1356, 129890
 1357, 129880
 1358, 129887
 1359, 129884
 1360, 129859
 1361, 129879
 1362, 129911
 1363, 129864
 1364, 129902
 1365, 129897
 1366, 129878
 1367, 129908
 1368, 129865
 1369, 129873
 1370, 129879
 1371, 129865
 1372, 129868
 1373, 129903
 1374, 129880
 1375, 129892
 1376, 129854
 1377, 129855
 1378, 129852
 1379, 129869
 1380, 129879
 1381, 129882
 1382, 129825
 1383, 129855
 1384, 129853
 1385, 129862
 1386, 129846
 1387, 129842
 1388, 129873
 1389, 129833
 1390, 129850
 1391, 129824
 1392, 129846
 1393, 129870
 1394, 129867
 1395, 129833
 1396, 129829
 1397, 129809
 1398, 129869
 1399, 129876
 1400, 129837
 1401, 129849
 1402, 129835
 1403, 129845
 1404, 129866
 1405, 129816
 1406, 129832
 1407, 129844
 1408, 129875
 1409, 129851
 1410, 129862
 1411, 129779
 1412, 129795
 1413, 129814
 1414, 129804
 1415, 129827
 1416, 129797
 1417, 129808
 1418, 129840
 1419, 129807
 1420, 129814
 1421, 129837
 1422, 129830
 1423, 129795
 1424, 129801
 1425, 129817
 1426, 129832
 1427, 129800
 1428, 129814
 1429, 129796
 1430, 129795
 1431, 129790
 1432, 129802
 1433, 129831
 1434, 129834
 1435, 129817
 1436, 129815
 1437, 129827
 1438, 129819
 1439, 129835
 1440, 129793
 1441, 129796
 1442, 129787
 1443, 129789
 1444, 129787
 1445, 129804
 1446, 129778
 1447, 129818
 1448, 129795
 1449, 129824
 1450, 129797
 1451, 129792
 1452, 129800
 1453, 129806
 1454, 129790
 1455, 129776
 1456, 129772
 1457, 129751
 1458, 129747
 1459, 129780
 1460, 129778
 1461, 129802
 1462, 129773
 1463, 129777
 1464, 129756
 1465, 129780
 1466, 129758
 1467, 129801
 1468, 129789
 1469, 129759
 1470, 129759
 1471, 129759
 1472, 129780
 1473, 129772
 1474, 129710
 1475, 129793
 1476, 129734
 1477, 129756
 1478, 129763
 1479, 129758
 1480, 129771
 1481, 129753
 1482, 129741
 1483, 129734
 1484, 129756
 1485, 129744
 1486, 129789
 1487, 129725
 1488, 129715
 1489, 129736
 1490, 129758
 1491, 129776
 1492, 129739
 1493, 129767
 1494, 129765
 1495, 129734
 1496, 129751
 1497, 129740
 1498, 129733
 1499, 129722
 1500, 129741
 1501, 129710
 1502, 129693
 1503, 129729
 1504, 129696
 1505, 129721
 1506, 129743
 1507, 129732
 1508, 129720
 1509, 129739
 1510, 129728
 1511, 129684
 1512, 129743
 1513, 129744
 1514, 129730
 1515, 129698
 1516, 129713
 1517, 129743
 1518, 129701
 1519, 129714
 1520, 129725
 1521, 129697
 1522, 129712
 1523, 129711
 1524, 129725
 1525, 129725
 1526, 129691
 1527, 129737
 1528, 129701
 1529, 129733
 1530, 129696
 1531, 129704
 1532, 129678
 1533, 129698
 1534, 129722
 1535, 129668
 1536, 129714
 1537, 129701
 1538, 129698
 1539, 129718
 1540, 129675
 1541, 129661
 1542, 129721
 1543, 129727
 1544, 129668
 1545, 129688
 1546, 129717
 1547, 129672
 1548, 129706
 1549, 129712
 1550, 129677
 1551, 129686
 1552, 129682
 1553, 129673
 1554, 129669
 1555, 129675
 1556, 129638
 1557, 129680
 1558, 129712
 1559, 129666
 1560, 129712
 1561, 129652
 1562, 129706
 1563, 129691
 1564, 129686
 1565, 129685
 1566, 129717
 1567, 129649
 1568, 129686
 1569, 129670
 1570, 129673
 1571, 129670
 1572, 129706
 1573, 129655
 1574, 129655
 1575, 129684
 1576, 129706
 1577, 129644
 1578, 129662
 1579, 129635
 1580, 129673
 1581, 129681
 1582, 129665
 1583, 129662
 1584, 129612
 1585, 129627
 1586, 129678
 1587, 129676
 1588, 129640
 1589, 129672
 1590, 129659
 1591, 129658
 1592, 129655
 1593, 129657
 1594, 129631
 1595, 129623
 1596, 129641
 1597, 129614
 1598, 129652
 1599, 129665
 1600, 129639
 1601, 129624
 1602, 129640
 1603, 129613
 1604, 129626
 1605, 129658
 1606, 129624
 1607, 129646
 1608, 129631
 1609, 129637
 1610, 129597
 1611, 129618
 1612, 129610
 1613, 129659
 1614, 129651
 1615, 129630
 1616, 129648
 1617, 129599
 1618, 129617
 1619, 129622
 1620, 129611
 1621, 129628
 1622, 129623
 1623, 129635
 1624, 129633
 1625, 129644
 1626, 129624
 1627, 129611
 1628, 129618
 1629, 129608
 1630, 129626
 1631, 129648
 1632, 129633
 1633, 129626
 1634, 129606
 1635, 129659
 1636, 129619
 1637, 129603
 1638, 129635
 1639, 129596
